timestamp,equity,return,drawdown
1761149700000,10000.000000,0.000000,0.000000
1761150600000,10000.000000,0.000000,0.000000
1761151500000,10000.000000,0.000000,0.000000
1761152400000,10000.000000,0.000000,0.000000
1761153300000,10000.000000,0.000000,0.000000
1761154200000,10000.000000,0.000000,0.000000
1761155100000,10000.000000,0.000000,0.000000
1761156000000,10000.000000,0.000000,0.000000
1761156900000,10000.000000,0.000000,0.000000
1761157800000,10000.000000,0.000000,0.000000
1761158700000,10000.000000,0.000000,0.000000
1761159600000,10000.000000,0.000000,0.000000
1761160500000,10000.000000,0.000000,0.000000
1761161400000,10000.000000,0.000000,0.000000
1761162300000,10000.000000,0.000000,0.000000
1761163200000,10000.000000,0.000000,0.000000
1761164100000,10000.000000,0.000000,0.000000
1761165000000,10000.000000,0.000000,0.000000
1761165900000,10000.000000,0.000000,0.000000
1761166800000,10000.000000,0.000000,0.000000
1761167700000,10000.000000,0.000000,0.000000
1761168600000,10000.000000,0.000000,0.000000
1761169500000,10000.000000,0.000000,0.000000
1761170400000,10000.000000,0.000000,0.000000
1761171300000,10000.000000,0.000000,0.000000
1761172200000,10000.000000,0.000000,0.000000
1761173100000,10000.000000,0.000000,0.000000
1761174000000,10000.000000,0.000000,0.000000
1761174900000,10000.000000,0.000000,0.000000
1761175800000,10000.000000,0.000000,0.000000
1761176700000,10000.000000,0.000000,0.000000
1761177600000,10000.000000,0.000000,0.000000
1761178500000,10000.000000,0.000000,0.000000
1761179400000,10000.000000,0.000000,0.000000
1761180300000,10000.000000,0.000000,0.000000
1761181200000,10000.000000,0.000000,0.000000
1761182100000,10000.000000,0.000000,0.000000
1761183000000,10000.000000,0.000000,0.000000
1761183900000,10000.000000,0.000000,0.000000
1761184800000,10000.000000,0.000000,0.000000
1761185700000,10000.000000,0.000000,0.000000
1761186600000,10000.000000,0.000000,0.000000
1761187500000,10000.000000,0.000000,0.000000
1761188400000,10000.000000,0.000000,0.000000
1761189300000,10000.000000,0.000000,0.000000
1761190200000,10000.000000,0.000000,0.000000
1761191100000,10000.000000,0.000000,0.000000
1761192000000,10000.000000,0.000000,0.000000
1761192900000,10000.000000,0.000000,0.000000
1761193800000,10000.000000,0.000000,0.000000
1761194700000,10000.000000,0.000000,0.000000
1761195600000,10000.000000,0.000000,0.000000
1761196500000,10000.000000,0.000000,0.000000
1761197400000,10000.000000,0.000000,0.000000
1761198300000,10000.000000,0.000000,0.000000
1761199200000,10000.000000,0.000000,0.000000
1761200100000,10000.000000,0.000000,0.000000
1761201000000,10000.000000,0.000000,0.000000
1761201900000,10000.000000,0.000000,0.000000
1761202800000,10000.000000,0.000000,0.000000
1761203700000,10000.000000,0.000000,0.000000
1761204600000,10000.000000,0.000000,0.000000
1761205500000,10000.000000,0.000000,0.000000
1761206400000,10000.000000,0.000000,0.000000
1761207300000,10000.000000,0.000000,0.000000
1761208200000,10000.000000,0.000000,0.000000
1761209100000,10000.000000,0.000000,0.000000
1761210000000,10000.000000,0.000000,0.000000
1761210900000,10000.000000,0.000000,0.000000
1761211800000,10000.000000,0.000000,0.000000
1761212700000,10000.000000,0.000000,0.000000
1761213600000,10000.000000,0.000000,0.000000
1761214500000,10000.000000,0.000000,0.000000
1761215400000,10000.000000,0.000000,0.000000
1761216300000,10000.000000,0.000000,0.000000
1761217200000,10000.000000,0.000000,0.000000
1761218100000,10000.000000,0.000000,0.000000
1761219000000,10000.000000,0.000000,0.000000
1761219900000,10000.000000,0.000000,0.000000
1761220800000,10000.000000,0.000000,0.000000
1761221700000,10000.000000,0.000000,0.000000
1761222600000,10000.000000,0.000000,0.000000
1761223500000,10000.000000,0.000000,0.000000
1761224400000,10000.000000,0.000000,0.000000
1761225300000,10000.000000,0.000000,0.000000
1761226200000,10000.000000,0.000000,0.000000
1761227100000,10000.000000,0.000000,0.000000
1761228000000,10000.000000,0.000000,0.000000
1761228900000,10000.000000,0.000000,0.000000
1761229800000,10000.000000,0.000000,0.000000
1761230700000,10000.000000,0.000000,0.000000
1761231600000,10000.000000,0.000000,0.000000
1761232500000,10000.000000,0.000000,0.000000
1761233400000,10000.000000,0.000000,0.000000
1761234300000,10000.000000,0.000000,0.000000
1761235200000,10000.000000,0.000000,0.000000
1761236100000,10000.000000,0.000000,0.000000
1761237000000,10000.000000,0.000000,0.000000
1761237900000,10000.000000,0.000000,0.000000
1761238800000,10000.000000,0.000000,0.000000
1761239700000,10000.000000,0.000000,0.000000
1761240600000,10000.000000,0.000000,0.000000
1761241500000,10000.000000,0.000000,0.000000
1761242400000,10000.000000,0.000000,0.000000
1761243300000,10000.000000,0.000000,0.000000
1761244200000,10000.000000,0.000000,0.000000
1761245100000,10000.000000,0.000000,0.000000
1761246000000,10000.000000,0.000000,0.000000
