timestamp,open,high,low,close,volume
1761149700000,108380.00000000,108688.00000000,108000.00000000,108505.60000000,131556.19000000
1761150600000,108505.60000000,108766.00000000,107800.20000000,108372.90000000,274498.27000000
1761151500000,108372.90000000,108634.50000000,108150.00000000,108171.70000000,62505.15000000
1761152400000,108171.70000000,108292.80000000,107989.00000000,108142.00000000,58598.04000000
1761153300000,108142.00000000,108154.00000000,107807.20000000,107905.50000000,86684.14000000
1761154200000,107905.50000000,108195.00000000,107675.70000000,107808.90000000,69013.24000000
1761155100000,107808.80000000,107935.90000000,107518.60000000,107741.70000000,81748.04000000
1761156000000,107741.60000000,107950.60000000,107662.50000000,107677.50000000,48466.79000000
1761156900000,107677.40000000,108020.00000000,107411.00000000,107980.40000000,104106.36000000
1761157800000,107980.40000000,108173.50000000,107825.20000000,107902.50000000,53624.02000000
1761158700000,107902.40000000,108022.20000000,107819.60000000,107984.50000000,39806.68000000
1761159600000,107984.50000000,108346.20000000,107864.70000000,108113.90000000,68922.89000000
1761160500000,108114.00000000,108385.80000000,108044.00000000,108059.80000000,40166.34000000
1761161400000,108059.90000000,108196.80000000,107950.20000000,107953.30000000,50219.51000000
1761162300000,107953.30000000,108051.20000000,107624.60000000,107820.30000000,94085.86000000
1761163200000,107820.10000000,108023.30000000,107813.10000000,107830.70000000,34404.39000000
1761164100000,107830.70000000,107835.90000000,107571.00000000,107583.10000000,31337.24000000
1761165000000,107583.10000000,107883.10000000,107480.00000000,107826.80000000,34935.76000000
1761165900000,107826.80000000,107826.90000000,107444.00000000,107644.40000000,64739.48000000
1761166800000,107644.90000000,107706.60000000,106606.30000000,107089.40000000,377361.38000000
1761167700000,107089.50000000,107259.70000000,106673.60000000,106722.30000000,81652.70000000
1761168600000,106722.30000000,107082.70000000,106688.00000000,106876.90000000,48610.29000000
1761169500000,106876.90000000,107303.40000000,106876.80000000,107164.50000000,41770.81000000
1761170400000,107164.50000000,107640.00000000,107096.50000000,107385.90000000,95836.41000000
1761171300000,107385.90000000,107400.30000000,106861.30000000,107008.00000000,50233.90000000
1761172200000,107007.90000000,107278.40000000,106940.90000000,107254.00000000,49792.19000000
1761173100000,107254.10000000,107288.00000000,106947.90000000,107151.40000000,42341.46000000
1761174000000,107151.50000000,107541.40000000,107122.60000000,107363.20000000,53653.05000000
1761174900000,107363.20000000,107866.40000000,107350.00000000,107745.80000000,85149.70000000
1761175800000,107746.00000000,107920.00000000,107593.30000000,107593.30000000,46694.12000000
1761176700000,107593.40000000,107708.20000000,107518.80000000,107530.50000000,42723.11000000
1761177600000,107530.50000000,107678.40000000,107456.00000000,107648.30000000,30788.00000000
1761178500000,107648.20000000,107796.80000000,107480.20000000,107544.50000000,35284.71000000
1761179400000,107544.50000000,107790.40000000,107521.70000000,107670.00000000,21799.52000000
1761180300000,107670.00000000,107955.20000000,107626.00000000,107814.10000000,34407.48000000
1761181200000,107814.10000000,108426.60000000,107749.00000000,108264.20000000,102570.84000000
1761182100000,108264.20000000,108510.00000000,107982.70000000,108151.80000000,178615.38000000
1761183000000,108151.90000000,108293.60000000,108088.00000000,108198.40000000,38111.83000000
1761183900000,108198.40000000,108209.00000000,108088.00000000,108106.20000000,21456.25000000
1761184800000,108106.10000000,108128.60000000,107999.90000000,108101.10000000,33995.74000000
1761185700000,108101.00000000,108354.00000000,108101.00000000,108167.40000000,46890.50000000
1761186600000,108167.40000000,108299.90000000,108150.00000000,108233.90000000,24013.51000000
1761187500000,108234.00000000,108386.00000000,108157.90000000,108374.00000000,32400.91000000
1761188400000,108373.90000000,108546.00000000,108292.00000000,108440.00000000,59054.18000000
1761189300000,108440.00000000,108666.00000000,108440.00000000,108641.80000000,53887.54000000
1761190200000,108641.70000000,108670.70000000,108337.50000000,108375.60000000,67070.71000000
1761191100000,108375.50000000,108375.50000000,108267.00000000,108309.90000000,30314.94000000
1761192000000,108310.00000000,108440.10000000,108298.30000000,108312.00000000,30552.71000000
1761192900000,108312.00000000,108559.80000000,108311.90000000,108507.90000000,24763.76000000
1761193800000,108508.00000000,108881.00000000,108409.20000000,108831.60000000,62931.16000000
1761194700000,108831.60000000,108846.00000000,108593.30000000,108593.30000000,52002.30000000
1761195600000,108593.30000000,108780.90000000,108567.00000000,108767.10000000,36024.58000000
1761196500000,108767.20000000,108772.70000000,108685.00000000,108717.50000000,26290.04000000
1761197400000,108717.50000000,108747.20000000,108608.30000000,108608.40000000,23643.83000000
1761198300000,108608.40000000,108940.90000000,108591.30000000,108900.00000000,42538.60000000
1761199200000,108900.00000000,109066.60000000,108807.00000000,109025.10000000,68595.93000000
1761200100000,109025.10000000,110145.30000000,109025.10000000,109830.10000000,441635.85000000
1761201000000,109830.00000000,110050.00000000,109725.80000000,109974.00000000,85235.79000000
1761201900000,109974.00000000,110271.10000000,109974.00000000,110181.70000000,115845.47000000
1761202800000,110181.70000000,110230.30000000,109723.30000000,109754.90000000,101465.18000000
1761203700000,109755.00000000,109823.90000000,109321.60000000,109514.10000000,127040.93000000
1761204600000,109514.00000000,109578.20000000,109170.70000000,109385.20000000,94849.72000000
1761205500000,109385.20000000,109518.30000000,109187.60000000,109230.00000000,59810.78000000
1761206400000,109229.90000000,109728.00000000,109200.10000000,109675.80000000,110346.87000000
1761207300000,109675.20000000,109865.30000000,109611.30000000,109741.70000000,63492.38000000
1761208200000,109741.60000000,109755.80000000,109405.70000000,109544.70000000,50530.02000000
1761209100000,109544.60000000,109665.60000000,109340.50000000,109462.00000000,56415.36000000
1761210000000,109462.00000000,109500.00000000,109088.10000000,109102.30000000,82901.09000000
